timestamp_utc,mean_risk,max_risk,mean_rainfall,max_rainfall,high_risk_cells,very_high_cells
2019-05-02 00:00:00+00:00,0.10809559748058063,0.6022800884962956,0.00023599794897376244,0.005705228030899936,66,0
2019-05-02 00:30:00+00:00,0.10814997573375164,0.6036382908980831,0.0003719435819012988,0.009151845018263577,66,0
2019-05-02 01:00:00+00:00,0.108132202457069,0.603403026152155,0.00032751039019468905,0.008563683153443543,66,0
2019-05-02 01:30:00+00:00,0.10820172371228688,0.6022454413455653,0.0005013135282394264,0.024550819917828866,66,0
2019-05-02 02:00:00+00:00,0.10830479072896523,0.6011112015777977,0.000758981069935272,0.05689075144431038,66,0
2019-05-02 02:30:00+00:00,0.10912990421327333,0.607589700622444,0.0028217647807054903,0.07402219287445312,66,0
2019-05-02 03:00:00+00:00,0.10955849863326347,0.6038100104428945,0.0038932508306808856,0.11334370995962469,66,0
2019-05-02 03:30:00+00:00,0.11102088629674038,0.605950810830982,0.007549219989373151,0.13877859816524182,66,0
2019-05-02 04:00:00+00:00,0.11414504165258292,0.6093313196320318,0.015359608378979508,0.3200764662223516,66,0
2019-05-02 04:30:00+00:00,0.12482957118938365,0.6218066016190812,0.042070932220981294,0.3556353172381836,66,0
2019-05-02 05:00:00+00:00,0.12882371470232634,0.6194716778605519,0.05205629100333801,0.4451140110382719,66,0
2019-05-02 05:30:00+00:00,0.1363689753178244,0.6317338489861665,0.07091944254208318,0.518988236909892,66,0
2019-05-02 06:00:00+00:00,0.1497073815627369,0.6694897066989448,0.10426545815436443,0.571928345702398,66,0
2019-05-02 06:30:00+00:00,0.17341058477261037,0.7124493401433022,0.16352333385155718,0.6236051794897121,66,0
2019-05-02 07:00:00+00:00,0.18566602490566514,0.750293446018943,0.19416193418419406,0.6664626402897599,66,1
2019-05-02 07:30:00+00:00,0.19138172332408573,0.7478511391100577,0.2084511802302456,0.6821018765617369,66,0
2019-05-02 08:00:00+00:00,0.18561952823144875,0.7195184432346112,0.19404569249865306,0.6796464131814466,66,0
2019-05-02 08:30:00+00:00,0.1857059565645159,0.7940297274742018,0.19426174619896988,0.6779212827949007,66,1
2019-05-02 09:00:00+00:00,0.18686502301153432,0.8211858161694674,0.19715941231651585,0.6483254756000311,66,3
2019-05-02 09:30:00+00:00,0.18789660599018584,0.7468557429935356,0.1997383697631447,0.4968973176380209,66,0
