timestamp_utc,latitude,longitude,rainfall_mm_hr,rainfall_rolling_1hr,rainfall_rolling_3hr,rainfall_rolling_6hr,flood_susceptibility,rainfall_hazard,dynamic_flood_risk,flood_risk_level
2019-05-02 18:00:00+00:00,19.25,84.95,3.1799998,6.5799997,22.2099997,41.52999929999999,0.99898535,0.48937909309022304,0.7951428592362113,Very High
2019-05-02 18:30:00+00:00,19.25,84.95,4.14,7.3199998,22.0999997,42.2199995,0.99898535,0.5327435892581075,0.8124886577033651,Very High
2019-05-02 19:00:00+00:00,19.25,84.95,5.06,9.2,23.6399997,43.9699995,0.99898535,0.5853869772331859,0.8335460128933965,Very High
2019-05-02 19:30:00+00:00,19.25,84.95,3.26,8.32,22.8199997,43.4099995,0.99898535,0.5465150101392857,0.8179972260558364,Very High
2019-05-02 20:00:00+00:00,19.25,84.95,4.44,7.7,23.4799997,44.479999500000005,0.99898535,0.5873254609207689,0.8343214063684297,Very High
2019-05-02 20:30:00+00:00,19.25,84.95,5.9,10.34,25.9799998,47.6699995,0.99898535,0.6786280955897125,0.8708424602360071,Very High
2019-05-02 21:00:00+00:00,19.25,84.95,5.37,11.27,28.17,50.3799997,0.99898535,0.7178013004691526,0.8865117421877831,Very High
2019-05-02 21:30:00+00:00,19.25,84.95,2.3799999,7.749999900000001,26.4099999,48.5099996,0.99898535,0.620221445174364,0.8474798000698677,Very High
2019-05-02 22:00:00+00:00,19.25,84.95,3.7099998,6.0899997,25.0599997,48.6999994,0.99898535,0.6367552647164528,0.8540933278867032,Very High
2019-05-02 22:30:00+00:00,19.25,84.95,9.29,12.9999998,31.0899997,53.9099994,0.99898535,0.821095776576686,0.9278295326307965,Very High
2019-05-02 23:00:00+00:00,19.25,84.95,11.09,20.38,37.7399997,61.21999939999999,0.99898535,0.8603133461988859,0.9435165604796765,Very High
2019-05-02 23:30:00+00:00,19.25,84.95,12.79,23.88,44.6299997,70.6099995,0.99898535,0.8751865753123551,0.9494658521250641,Very High
2019-05-03 00:00:00+00:00,19.25,84.95,10.59,23.38,49.8499997,78.0199997,0.99898535,0.877205369206615,0.9502733696827681,Very High
2019-05-03 00:30:00+00:00,19.25,84.95,8.62,19.21,56.0899998,82.49999969999999,0.99898535,0.8862713919891944,0.9538997787957999,Very High
2019-05-03 01:00:00+00:00,19.25,84.95,12.94,21.56,65.32,90.37999969999998,0.99898535,0.8881121813353025,0.9546360945342431,Very High
2019-05-03 01:30:00+00:00,19.25,84.95,9.58,22.52,65.61,96.6999997,0.99898535,0.8895146890473802,0.9551970976190742,Very High
2019-05-03 02:00:00+00:00,19.25,84.95,4.5099998,14.0899998,59.0299998,96.7699995,0.99898535,0.8211760357733912,0.9278616363094785,Very High
2019-05-03 02:30:00+00:00,19.25,84.95,4.48,8.9899998,50.7199998,95.3499995,0.99898535,0.7735933682731029,0.9088285693093632,Very High
2019-05-03 03:00:00+00:00,19.25,84.95,4.58,9.06,44.7099998,94.5599995,0.99898535,0.7931423299372937,0.9166481539750395,Very High
2019-05-03 03:30:00+00:00,19.25,84.95,4.35,8.93,40.4399998,96.52999959999998,0.99898535,0.7921426622170998,0.916248286886962,Very High
2019-05-03 04:00:00+00:00,19.25,84.95,4.54,8.89,32.039999800000004,97.3599998,0.99898535,0.7689231616047519,0.9069604866420229,Very High
2019-05-03 04:30:00+00:00,19.25,84.95,3.72,8.26,26.1799998,91.7899998,0.99898535,0.7268202456465147,0.890119320258728,Very High
2019-05-03 05:00:00+00:00,19.25,84.95,2.47,6.19,24.14,83.1699998,0.99898535,0.6807160620985631,0.8716776468395473,Very High
2019-05-03 05:30:00+00:00,19.25,84.95,3.36,5.83,23.02,73.73999979999999,0.99898535,0.7232173489006628,0.8886781615603871,Very High
2019-05-03 06:00:00+00:00,19.25,84.95,3.6299999,6.9899999,22.0699999,66.77999969999999,0.99898535,0.7374450748612097,0.894369251944606,Very High
2019-05-03 06:30:00+00:00,19.25,84.95,3.9199998,7.5499997,21.6399997,62.07999949999999,0.99898535,0.740638039528379,0.8956464378114737,Very High
2019-05-03 07:00:00+00:00,19.25,84.95,4.18,8.099999799999999,21.2799997,53.3199995,0.99898535,0.7401004459365327,0.8954314003747352,Very High
2019-05-03 07:30:00+00:00,19.25,84.95,4.08,8.26,21.6399997,47.8199995,0.99898535,0.7396286428641801,0.8952426791457941,Very High
2019-05-03 08:00:00+00:00,19.25,84.95,2.96,7.04,22.1299997,46.26999969999999,0.99898535,0.7094877494365701,0.8831863217747502,Very High
2019-05-03 08:30:00+00:00,19.25,84.95,2.57,5.529999999999999,21.3399997,44.3599997,0.99898535,0.6816282089383475,0.872042505575461,Very High
2019-05-03 09:00:00+00:00,19.25,84.95,1.6999999,4.2699999,19.4099997,41.47999959999999,0.99898535,0.6371802110324681,0.8542633064131093,Very High
2019-05-03 09:30:00+00:00,19.25,84.95,1.78,3.4799999,17.2699999,38.9099996,0.99898535,0.5985642256774366,0.8388169122710967,Very High
2019-05-03 10:00:00+00:00,19.25,84.95,0.48999998,2.26999998,13.57999988,34.85999958,0.99898535,0.5182412936841839,0.8066877394737957,Very High
2019-05-03 10:30:00+00:00,19.25,84.95,0.19,0.6799999800000001,9.68999988,31.32999958,0.99898535,0.4540711214109689,0.7810196705645096,Very High
2019-05-03 11:00:00+00:00,19.25,84.95,0.13,0.32,6.85999988,28.98999958,0.99898535,0.4076659872259029,0.7624576168904833,Very High
2019-05-03 11:30:00+00:00,19.25,84.95,0.17,0.3,4.45999988,25.799999579999994,0.99898535,0.35581892331392784,0.7417187913256932,High
2019-05-03 12:00:00+00:00,19.25,84.95,0.32,0.49,3.07999998,22.48999968,0.99898535,0.31532177124823235,0.725519930499415,High
2019-05-03 12:30:00+00:00,19.25,84.95,0.07,0.3899999999999999,1.36999998,18.63999988,0.99898535,0.26947663690115425,0.7071818767605837,High
2019-05-03 13:00:00+00:00,19.25,84.95,0.0,0.07,0.8800000000000001,14.459999879999996,0.99898535,0.22634112366218612,0.6899276714649966,High
2019-05-03 13:30:00+00:00,19.25,84.95,0.0,0.0,0.6900000000000002,10.379999879999996,0.99898535,0.1885430755463359,0.6748084522186564,High
2019-05-03 14:00:00+00:00,19.25,84.95,0.0,0.0,0.56,7.419999879999996,0.99898535,0.1590595486442081,0.6630150414578053,High
2019-05-03 14:30:00+00:00,19.25,84.95,0.0,0.0,0.39,4.849999879999997,0.99898535,0.14260922754025024,0.6564349130162221,High
2019-05-03 15:00:00+00:00,19.25,84.95,0.0,0.0,0.07,3.1499999799999965,0.99898535,0.12276677168713393,0.6484979306749756,High
2019-05-03 15:30:00+00:00,19.25,84.95,0.0,0.0,0.0,1.3699999799999965,0.99898535,0.09917666690549144,0.6390618887623186,High
2019-05-03 16:00:00+00:00,19.25,84.95,0.0,0.0,0.0,0.8799999999999966,0.99898535,0.08334008552246604,0.6327272562091085,High
2019-05-03 16:30:00+00:00,19.25,84.95,0.0,0.0,0.0,0.6899999999999966,0.99898535,0.06877499927200861,0.6269012217089255,High
2019-05-03 17:00:00+00:00,19.25,84.95,0.0,0.0,0.0,0.5599999999999965,0.99898535,0.05719941235881526,0.6222709869436481,High
2019-05-03 17:30:00+00:00,19.25,84.95,0.0,0.0,0.0,0.3899999999999965,0.99898535,0.05220297202697064,0.6202724108109103,High
2019-05-03 18:00:00+00:00,19.25,84.95,0.0,0.0,0.0,0.0699999999999964,0.99898535,0.04271713863311679,0.6164780774533688,High
2019-05-03 18:30:00+00:00,19.25,84.95,0.0,0.0,0.0,0.0,0.99898535,0.033436378399481013,0.6127657733599144,High
2019-05-03 19:00:00+00:00,19.25,84.95,0.0,0.0,0.0,0.0,0.99898535,0.02716978237782985,0.6102591349512541,High
2019-05-03 19:30:00+00:00,19.25,84.95,0.0,0.0,0.0,0.0,0.99898535,0.02165587871759944,0.6080535734871618,High
2019-05-03 20:00:00+00:00,19.25,84.95,0.0,0.0,0.0,0.0,0.99898535,0.01688250287951512,0.6061442231519281,High
2019-05-03 20:30:00+00:00,19.25,84.95,0.0,0.0,0.0,0.0,0.99898535,0.011370294401682612,0.6039393397607952,High
2019-05-03 21:00:00+00:00,19.25,84.95,0.08,0.08,0.08,0.0799999999999964,0.99898535,0.011265245068279247,0.6038973200274338,High
2019-05-03 21:30:00+00:00,19.25,84.95,0.0,0.08,0.08,0.0799999999999964,0.99898535,0.0078344520185395,0.6025250028075378,High
2019-05-03 22:00:00+00:00,19.25,84.95,0.0,0.0,0.08,0.0799999999999964,0.99898535,0.0058956069734764196,0.6017494647895126,High
2019-05-03 22:30:00+00:00,19.25,84.95,0.0,0.0,0.08,0.0799999999999964,0.99898535,0.005456252721801815,0.6015737230888428,High
2019-05-03 23:00:00+00:00,19.25,84.95,0.0,0.0,0.08,0.0799999999999964,0.99898535,0.004580507121187281,0.601223424848597,High
2019-05-03 23:30:00+00:00,19.25,84.95,0.0,0.0,0.08,0.0799999999999964,0.99898535,0.0030373874628779524,0.6006061769852733,High
2019-05-04 00:00:00+00:00,19.25,84.95,0.0,0.0,0.0,0.0799999999999964,0.99898535,0.0018924387257332094,0.6001481974904154,High
2019-05-02 00:00:00+00:00,19.25,85.049995,0.0,0.0,0.0,0.0,0.00066765834,0.0,0.000400595017708838,Low
2019-05-02 00:30:00+00:00,19.25,85.049995,0.0,0.0,0.0,0.0,0.00066765834,0.0,0.000400595017708838,Low
2019-05-02 01:00:00+00:00,19.25,85.049995,0.0,0.0,0.0,0.0,0.00066765834,0.0,0.000400595017708838,Low
2019-05-02 01:30:00+00:00,19.25,85.049995,0.01,0.01,0.01,0.01,0.00066765834,0.00033560164887646687,0.0005348356772594248,Low
2019-05-02 02:00:00+00:00,19.25,85.049995,0.0,0.01,0.01,0.01,0.00066765834,0.00024977278762943253,0.000500504132760611,Low
2019-05-02 02:30:00+00:00,19.25,85.049995,0.0,0.0,0.01,0.01,0.00066765834,0.0010439740852420613,0.0008181846518056625,Low
2019-05-02 03:00:00+00:00,19.25,85.049995,0.049999997,0.049999997,0.059999997,0.059999997,0.00066765834,0.0034365057231132284,0.0017751973069541295,Low
2019-05-02 03:30:00+00:00,19.25,85.049995,0.0,0.049999997,0.059999997,0.059999997,0.00066765834,0.004067794414315083,0.002027712783434871,Low
2019-05-02 04:00:00+00:00,19.25,85.049995,0.089999996,0.089999996,0.149999993,0.149999993,0.00066765834,0.010379666291412524,0.004552461534273847,Low
2019-05-02 04:30:00+00:00,19.25,85.049995,1.1,1.189999996,1.239999993,1.249999993,0.00066765834,0.05767078841378911,0.023468910383224482,Low
2019-05-02 05:00:00+00:00,19.25,85.049995,0.72999996,1.82999996,1.969999953,1.979999953,0.00066765834,0.06835239109879956,0.027741551457228664,Low
2019-05-02 05:30:00+00:00,19.25,85.049995,3.97,4.69999996,5.939999953,5.949999953000001,0.00066765834,0.1857704146847614,0.07470876089161341,Low
2019-05-02 06:00:00+00:00,19.25,85.049995,3.1999998,7.1699998,9.089999756,9.149999753,0.00066765834,0.22863040663430526,0.09185275767143095,Low
2019-05-02 06:30:00+00:00,19.25,85.049995,0.87,4.0699998,9.959999756,10.019999753,0.00066765834,0.18864334649378908,0.07585793361522447,Low
2019-05-02 07:00:00+00:00,19.25,85.049995,0.35,1.2199999999999995,10.21999976,10.369999753,0.00066765834,0.17380430501645422,0.06992231702429053,Low
2019-05-02 07:30:00+00:00,19.25,85.049995,0.24,0.5899999999999995,9.35999976,10.599999753,0.00066765834,0.17161857849608947,0.06904802641614463,Low
2019-05-02 08:00:00+00:00,19.25,85.049995,0.65999997,0.8999999699999995,9.28999977,11.259999723,0.00066765834,0.18096909956736745,0.07278823484465582,Low
2019-05-02 08:30:00+00:00,19.25,85.049995,0.51,1.1699999699999997,5.829999770000001,11.769999723,0.00066765834,0.1681336090827618,0.06765403865081356,Low
2019-05-02 09:00:00+00:00,19.25,85.049995,0.9,1.4099999999999997,3.5299999700000004,12.619999726,0.00066765834,0.17406543009772082,0.07002676705679717,Low
2019-05-02 09:30:00+00:00,19.25,85.049995,1.06,1.96,3.71999997,13.679999726,0.00066765834,0.18464495054455735,0.07425857523553178,Low
2019-05-02 10:00:00+00:00,19.25,85.049995,1.23,2.29,4.599999970000001,14.81999973,0.00066765834,0.20302930517687598,0.08161231708845923,Low
2019-05-02 10:30:00+00:00,19.25,85.049995,1.06,2.29,5.41999997,14.77999973,0.00066765834,0.19788619634909313,0.07955507355734609,Low
2019-05-02 11:00:00+00:00,19.25,85.049995,1.0799999,2.1399998999999994,5.8399999000000005,15.12999967,0.00066765834,0.19163014665847736,0.07705265368109979,Low
2019-05-02 11:30:00+00:00,19.25,85.049995,1.8,2.8799999,7.129999900000001,12.95999967,0.00066765834,0.21060898507588005,0.08464418904806087,Low
2019-05-02 12:00:00+00:00,19.25,85.049995,1.11,2.91,7.3399999,10.86999987,0.00066765834,0.1965887632871382,0.07903610033256413,Low
2019-05-02 12:30:00+00:00,19.25,85.049995,2.95,4.06,9.2299999,12.94999987,0.00066765834,0.25366593824189854,0.10186697031446826,Low
2019-05-02 13:00:00+00:00,19.25,85.049995,3.49,6.44,11.4899999,16.08999987,0.00066765834,0.30506437448081447,0.12242634481003463,Low
2019-05-02 13:30:00+00:00,19.25,85.049995,3.23,6.719999999999999,13.6599999,19.07999987,0.00066765834,0.3232874714834378,0.12971558361108396,Low
2019-05-02 14:00:00+00:00,19.25,85.049995,3.81,7.039999999999999,16.39,22.2299999,0.00066765834,0.3626662139927901,0.14546708061482488,Low
2019-05-02 14:30:00+00:00,19.25,85.049995,2.86,6.669999999999999,17.45,24.5799999,0.00066765834,0.3644901173094944,0.14619664194150658,Low
2019-05-02 15:00:00+00:00,19.25,85.049995,2.82,5.679999999999999,19.16,26.4999999,0.00066765834,0.379767379595502,0.15230754685590964,Low
2019-05-02 15:30:00+00:00,19.25,85.049995,4.0299997,6.8499997,20.2399997,29.4699996,0.00066765834,0.4413532111934068,0.17694187949507156,Low
2019-05-02 16:00:00+00:00,19.25,85.049995,3.6899998,7.719999499999998,20.4399995,31.9299994,0.00066765834,0.4559703395274934,0.1827887308287062,Low
